id,source_file,line_number,braille,mathml,model_response,prompt_tokens,completion_tokens,response_time_seconds
1,ueb.brls,371,⠎⠰⠢⠭,<math><msub><mi>s</mi><mi>x</mi></msub></math>,<math><mrow><mi>s</mi><mo>=</mo><mi>x</mi></mrow></math>,2536,27,0.14
2,ueb.brls,1473,⠠⠭⠍⠁⠭⠀⠐⠶⠀⠼⠃⠚⠚⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mtext>Xmax</mtext><mo>=</mo><mn>200</mn><mtext>,</mtext></math>","<math><mrow><mi>x</mi><mi mathvariant=""italic"">max</mi><mo>=</mo><mn>200</mn><mtext>,</mtext></mrow></math>",2554,46,0.14
3,ueb.brls,1581,⠰⠭⠀⠐⠶⠀⠐⠤⠼⠁,<math><mrow><mi>x</mi><mo>=</mo><mn>−1</mn></mrow></math>,<math><mrow><mi>x</mi><mo>=</mo><mn>−1</mn></mrow></math>,2546,29,0.14
4,ueb.brls,1865,⠰⠰⠰⠩⠼⠁⠉⠑⠬⠐⠌⠩⠼⠑⠬⠀⠐⠶⠀⠷⠩⠼⠁⠉⠑⠬⠨⠌⠩⠼⠑⠬⠾⠀⠐⠶⠀⠩⠼⠁⠉⠑⠌⠑⠬⠰⠄,<math><mrow><msqrt><mn>135</mn></msqrt><mo>÷</mo><msqrt><mn>5</mn></msqrt><mo>=</mo><mfrac><msqrt><mn>135</mn></msqrt><msqrt><mn>5</mn></msqrt></mfrac><mo>=</mo><msqrt><mfrac><mn>135</mn><mn>5</mn></mfrac></msqrt></mrow></math>,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""true"" scriptlevel=""0""><mfrac><msqrt><mn>125</mn></msqrt><msqrt><mn>5</mn></msqrt></mfrac><mo>=</mo><msqrt><mfrac><msqrt><mn>125</mn></msqrt><msqrt><mn>5</mn></msqrt></mfrac></mo><mo>=</mo><msqrt><mfrac><mn>125</mn><mn>5</mn></mfrac></msqrt></mstyle></math>",2613,142,0.14
5,ueb.brls,896,⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲,"<math><mrow><mi>r</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mo>=</mo><mi>p</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mo>−</mo><mi>q</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mtext>.</mtext></mrow></math>","<math><mrow><mi>r</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mo>=</mo><mi>p</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mo>−</mo><mi>q</mi><mo stretchy=""false"">(</mo><mi>x</mi><mo stretchy=""false"">)</mo><mtext>.</mtext></mrow></math>",2576,114,0.14
6,ueb.brls,1014,⠇⠕⠛⠀⠰⠭,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>log</mi><mo>⁡</mo><mrow><mi>x</mi></mrow></math>","<math><mrow><mi>log</mi><mo data-mjx-texclass=""NONE"">⁡</mo><mi>x</mi></mrow></math>",2539,39,0.14
7,ueb.brls,111,⠰⠏,<math><mi>p</mi></math>,<math><mi>p</mi></math>,2532,11,0.14
8,ueb.brls,2010,⠰⠠⠓⠀⠐⠶⠀⠼⠑⠭,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""true"" scriptlevel=""0""><mi>H</mi><mo>=</mo><mn>5</mn><mi>x</mi></mstyle></math>",<math><mrow><mi>H</mi><mo>=</mo><mn>5</mn><mi>x</mi></mrow></math>,2546,33,0.14
9,ueb.brls,209,⠈⠎⠼⠓⠲⠑⠙⠲,<math><mrow><mtext>$8.54</mtext><mo>.</mo></mrow></math>,<math><mrow><mi>Σ8.48</mi></mrow></math>,2544,22,0.14
10,ueb.brls,1943,⠰⠃,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>b</mi></math>",<math><mi>b</mi></math>,2532,11,0.14
